cityId,cityName_CN,cityName_EN,Lon,Lat,Regis_pop,Res_pop,GDP,Mob_degree,Pub_degree
211000,辽阳,Liaoyang,123.244,41.1807,870000.0,927000.0,41690040000.0,126847,30
210600,丹东,Dandong,124.399,40.5454,780000.0,849000.0,21437360000.0,169133,28
510600,德阳,Deyang,104.43,31.1337,700000.0,860000.0,50008190000.0,466052,82
140800,运城,Yuncheng,111.065,35.1868,700000.0,1070000.0,22488340000.0,382192,71
230400,鹤岗,Hegang,130.799,47.6417,640000.0,658000.0,13163220000.0,67745,1
140900,忻州,Xinzhou,112.408,38.882,550000.0,576000.0,12006520000.0,236440,23
230900,七台河,Qitaihe,130.968,45.9103,490000.0,621000.0,16389730000.0,70898,8
360200,景德镇,Jingdezhen,117.27,29.3077,470000.0,520000.0,44070050000.0,211203,95
150900,乌兰察布,Ulanqab,112.444,41.686,320000.0,361000.0,18790000000.0,161408,4
141100,吕梁,Lvliang,111.263,37.6794,280000.0,363000.0,7044730000.0,267959,8
231100,黑河,Heihe,126.984,49.2623,190000.0,216000.0,3371710000.0,104213,36
